study_id,ref,BNF_or_Denit,data_type,number_sites,latitude_decimal,longitude_decimal,biome_manuscript,Biome_rough,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_N_Dep,Extracted_DtB,Extracted_Elevation,Extracted_Roughness,Extracted_Slope,Extracted_Seasonality,Extracted_modelBNF,Extracted_modelNloss
9,"Park, S., T. Perez, K. Boering, S. Trumbore, J. Gil, S. Marquina, and S. Tyler. 2011. Can N2O stable isotopes and isotopomers be useful tools to characterize sources and microbial pathways of N2O production and consumption in tropical soils? GLOBAL BIOGEOCHEMICAL CYCLES 25.",Denitrification,field flux,1,-3.07,-54.98,evergreen broadleaf tropical forests,EBF,1894.876221,26.44559479,1023.471436,41,283,235,247.8152924,-1.281694651,6.956822395,1.196099997,576.25,4164,169,20.5,1.71669054,64.65756989,2.825049162,2.723903418
10,"Wang, S., Q. Zuo, Q. Cao, P. Wang, B. Yang, S. Zhao, R. Cao, and M. Chen. 2021. Acceleration of soil N2O flux and nitrogen transformation during tropical secondary forest succession after slash-and-burn agriculture. SOIL & TILLAGE RESEARCH 208.",Denitrification,field flux,1,21.92,101.27,evergreen broadleaf tropical forests,EBF,1626.185669,23.09771729,1103.352417,51,340,262,362.3119507,-1.59642458,6.355738163,1.674100041,1630.800049,1185,576,47,3.74525404,75.92034149,5.458588123,5.898022652
13,"Courtois, E., C. Stahl, B. Burban, J. Van den Berge, D. Berveiller, L. Brechet, J. Soong, N. Arriga, J. Penuelas, and I. Janssens. 2019. Automatic high-frequency measurements of full soil greenhouse gas fluxes in a tropical forest. BIOGEOSCIENCES 16:785–796.",Denitrification,field flux,1,5.25,-52.92,evergreen broadleaf tropical forests,EBF,2730.714355,26.06644821,1267.390503,46,686,407,520.2285156,-1.232089162,6.617492199,1.539299965,175.7799988,3969,33.5,17,1.198245764,49.79786682,,
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-22,29.91,"""sparse mopane-acacia woodland""",Savannas,341.1952515,23.17839241,323.7476196,71,72,75,656.0686035,-0.017216858,1.102693796,0.232199997,752.1599731,1459,500,5,0.361988068,86.26654053,0.833914757,1.09652245
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-17.93,25.85,evergreen broadleaf tropical forests,EBF,632.7999878,23.74037743,567.0618896,63,138,110,491.6839294,-0.548774302,2.591221571,0.485000014,519.7999878,2028,886,12.5,0.776141942,118.5162201,8.636998177,3.985294104
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-21.42,29.69,"""sparse mopane-acacia woodland""",Savannas,415.8761902,22.10021782,394.2761841,66,102,105,502.1187134,-0.118583962,1.80621469,0.574500024,752.1599731,1010,727.5,7,0.570435762,91.47038269,1.169893384,1.241264462
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-20.24,30.96,"""msasa/ brachysteiga woodland""",Savannas,804.5952148,20.04380989,665.3618774,61,436,114,386.2282715,,,0.591899991,1239.819946,2547,1057.5,17,1.750477791,91.80529785,4.458960533,6.050173759
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-16.14,29.4,"""mopane woodland (riverine)""",Savannas,790.2476196,24.51029778,698.1809692,64,224,131,345.9522095,-0.586741388,3.176030636,0.593999982,585.460022,4415,497,7.5,0.62973845,125.9738693,4.31216526,5.323206902
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-16.17,29.2,"""mopane/ teak woodland""",Savannas,759.2333374,24.0779953,655.6094971,64,196,153,345.9522095,-0.576493025,3.07322979,0.597599983,585.460022,4602,544.5,9,0.920218349,125.3633881,4.31216526,5.323206902
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-19.69,28.4,"""teak/terminalia woodland""",Savannas,561.4476318,20.72809601,508.4142761,66,97,86,438.5948486,-0.508353531,2.425952196,0.65259999,752.1599731,1148,1148,8,0.578704119,108.5684357,4.719727516,4.121150017
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.16,25.99,"""teak/terminalia woodland""",Savannas,647.8952637,22.68452454,572.1619263,63,135,104,483.8639221,-0.47888428,2.626517534,0.654399991,763.4799805,3481,1032.5,5,0.435916364,116.1886978,6.080488682,4.750554562
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.6,27.07,"""msasa/ brachysteiga woodland""",Savannas,657.833313,21.97132874,593.2666626,62,157,84,417.7366333,-0.606055558,2.914736509,0.675000012,752.1599731,3740,1034.5,28.5,2.481821775,112.0113449,4.5879879,4.765717506
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.73,27.95,"""teak/terminalia woodland""",Savannas,659.3095093,21.52281761,573.8713989,62,128,83,408.2686462,-0.28098318,2.383702755,0.702000022,752.1599731,3880,1092,3,0.235609725,113.7103424,6.014745712,6.376660824
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-19.93,29.01,"""grassland on high ground""",Grassland,635.2190552,19.05529785,558.5238037,63,122,106,474.5783997,-0.142411456,1.632970095,0.729399979,752.1599731,2174,1372,6,0.528628469,106.3132935,4.569505215,4.757456779
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-19.69,29.57,"""grassland on high ground""",Grassland,658.5952148,18.77206421,575.4190674,63,111,77,435.4503784,-0.091642573,1.58216846,0.745800018,752.1599731,2540,1423.5,13,1.245472193,105.7860336,6.170966625,6.225001812
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-19.93,28.51,"""acacia nilotica/ acacia bushland""",Savannas,565.833313,20.14952469,510.4047546,63,164,122,468.1087341,-0.461598724,2.418405533,0.782400012,752.1599731,2250,1194,51,3.248631477,106.0320129,4.261061668,4.219589233
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.12,30.21,"""msasa/ brachysteiga woodland""",Savannas,734.8618774,20.36870956,632.4381104,61,136,105,489.8951721,-0.564454615,2.740220547,0.818300009,752.1599731,3742,1181.5,6,0.605203509,111.4922791,6.470434666,6.683999062
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-20.49,29.04,"""Terminalia woodland""",Savannas,557.2619019,20.49920654,510.0523682,62,114,89,394.6386414,-0.196749836,2.085961103,0.855599999,752.1599731,1172,1054,23,2.140034676,100.4628448,4.569505215,4.757456779
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-19.3,29.79,"""terminalia woodland""",Savannas,670.0856934,18.88095284,589.2142944,61,155,103,482.9873352,-0.411091387,2.368876219,0.862399995,752.1599731,2643,1379.5,32,2.406593084,107.5117111,6.170966625,6.225001812
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-17.85,31.25,"""msasa/ brachysteiga woodland""",Savannas,820.7047729,18.36176491,678.9285889,57,133,108,423.811615,-0.484593391,2.578199148,0.934000015,806.1699829,4509,1537.5,25.5,2.089690447,107.4486771,9.948135376,10.62470722
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-17.49,30.55,"""msasa/ brachysteiga woodland""",Savannas,781.6809692,18.73924637,656.7714233,60,175,123,422.4916687,-0.577931166,2.832888126,0.97390002,585.460022,4871,1360,28.5,2.791894674,109.0828934,7.427517891,7.646187782
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.05,31.39,"""disturbed msasa bushland""",Savannas,845.9571533,18.17964172,683.3618774,56,144,111,442.550415,-0.36983195,2.296848297,1.009199977,1239.819946,3963,1554,14,1.207509995,104.5085297,9.948135376,10.62470722
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.11,31.82,"""brachysteiga woodland""",Savannas,807.9523926,17.52202415,649.0618896,57,153,163,444.1971741,-0.514686942,2.507198572,1.076699972,1239.819946,3621,1588.5,36,2.953087091,102.5642395,9.948135376,10.62470722
14,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",Denitrification,lab flux,1,-18.18,31.47,"""miombo (unburned)""",Savannas,834.5952148,17.61974144,682.6619263,57,163,142,442.550415,-0.453356415,2.415741444,1.128999949,1239.819946,3727,1626.5,14,1.25113523,101.2707596,9.948135376,10.62470722
16,"Bauza, J., J. Morell, and J. Corredor. 2002. Biogeochemistry of nitrous oxide production in the red mangrove (Rhizophora mangle) forest sediments. ESTUARINE COASTAL AND SHELF SCIENCE 55:697–704.",Denitrification,field flux,1,17.97,-67.05,mangrove,Permanent Wetlands,1167.876221,26.71952438,1053.333374,,,,,,,,1266.780029,,5.5,13,1.095410585,,,
19,"Hall, S., and G. Asner. 2007. Biological invasion alters regional nitrogen-oxide emissions from tropical rainforests. GLOBAL CHANGE BIOLOGY 13:2143–2160.",Denitrification,field flux,1,19.41,-155.28,evergreen broadleaf tropical forests,EBF,1840.857178,17.1871624,972.0952148,58,512,484,,,,,57.52999878,3157,1093.5,19,1.485996842,32.00551987,,
20,"Xie, L., D. Liu, C. Muller, A. Jansen-Willems, Z. Chen, Y. Niu, M. Zaman, L. Meng, and W. Ding. 2022. Brachiaria humidicola Cultivation Enhances Soil Nitrous Oxide Emissions from Tropical Grassland by Promoting the Denitrification Potential: A N-15 Tracing Study. AGRICULTURE-BASEL 12.",Denitrification,inferred,1,19.5,109.48,grassland tropical C4,Grassland,1734.93811,24.46237946,1103.928589,51,712,171,557.4122314,-1.066858411,5.161123276,0.581700027,2710.689941,3231,148.5,17.5,1.216512442,77.53952789,,
21,"Hall, S., W. McDowell, and W. Silver. 2013. When Wet Gets Wetter: Decoupling of Moisture, Redox Biogeochemistry, and Greenhouse Gas Fluxes in a Humid Tropical Forest Soil. ECOSYSTEMS 16:576–589.",Denitrification,field flux,1,18.3,-65.8,evergreen broadleaf tropical forests,EBF,2363.276123,22.05672455,1278.742798,47,819,599,469.2328796,-1.317179084,7.512785912,1.588099957,214.8999939,1000,771,89.5,7.767789841,27.43674088,,
22,"Holtgrieve, G., P. Jewett, and P. Matson. 2006. Variations in soil N cycling and trace gas emissions in wet tropical forests. OECOLOGIA 146:584–594.",Denitrification,field flux,1,20.83,-156.28,evergreen broadleaf tropical forests,EBF,1516.990479,17.60869026,946.81427,57,531,552,998.2290649,-0.668400407,4.187894344,2.312400103,57.52999878,4598,862,84.5,7.946204662,53.42675018,,
23,"Bigaignon, L., C. Delon, O. Ndiaye, C. Galy-Lacaux, D. Serca, F. Guerin, T. Tallec, L. Merbold, T. Tagesson, R. Fensholt, S. Andre, and S. Galliau. 2020. Understanding N2O Emissions in African Ecosystems: Assessments from a Semi-Arid Savanna Grassland in Senegal and Sub-Tropical Agricultural Fields in Kenya. SUSTAINABILITY 12.",Denitrification,field flux,1,15.4,-15.43,grassland tropical C4,Grassland,455.5762024,28.72745895,423.7238159,64,62,63,276.2307739,-0.005026465,1.060503721,0.0049,143.2100067,14062,48.5,4.5,0.2187583,147.3557434,0.77317822,0.920392275
23,"Bigaignon, L., C. Delon, O. Ndiaye, C. Galy-Lacaux, D. Serca, F. Guerin, T. Tallec, L. Merbold, T. Tagesson, R. Fensholt, S. Andre, and S. Galliau. 2020. Understanding N2O Emissions in African Ecosystems: Assessments from a Semi-Arid Savanna Grassland in Senegal and Sub-Tropical Agricultural Fields in Kenya. SUSTAINABILITY 12.",Denitrification,field flux,1,-0.43,34.21,grassland tropical C4,Permanent Wetlands,1052.590454,23.57992172,956.3713989,,,,571.5619507,-0.705394924,3.813672543,,1647.689941,5102,1134,9.5,0.81594944,52.82112503,,
24,"Machacova, K., L. Borak, T. Agyei, T. Schindler, K. Soosaar, U. Mander, and C. Ah-Peng. 2021. Trees as net sinks for methane (CH4) and nitrous oxide (N2O) in the lowland tropical rain forest on volcanic Reunion Island. NEW PHYTOLOGIST 229:1983–1994.",Denitrification,field flux,1,-21.36,55.74,evergreen broadleaf tropical forests,EBF,1429.93335,21.3418045,992.9904785,52,445,376,575.2686768,,,2.165999889,119.5400009,1227,143,90,10.3144474,44.47137833,,
25,"Welch, B., V. Gauci, and E. Sayer. 2019. Tree stem bases are sources of CH4 and N2O in a tropical forest on upland soil during the dry to wet season transition. GLOBAL CHANGE BIOLOGY 25:361–372.",Denitrification,field flux,1,9.1,-79.9,deciduous broadleaf tropical forests,DBF,2457.304688,26.85049629,1274.161865,54,593,527,499.5263977,-1.186498404,7.309979916,0.512399972,1130.48999,7606,63.5,13.5,0.717546582,61.72442245,,
26,"Purbopuspito, J., E. Veldkamp, R. Brumme, and D. Murdiyarso. 2006. Trace gas fluxes and nitrogen cycling along an elevation sequence of tropical montane forests in Central Sulawesi, Indonesia. GLOBAL BIOGEOCHEMICAL CYCLES 20.",Denitrification,field flux,3,-1.42,120.28,evergreen broadleaf tropical forests,EBF,2107.633301,19.53746033,1029.528564,50,709,456,389.4309082,-1.407849312,6.614141941,1.370800018,470.8399963,559,1441,92,7.648254395,32.74436569,,
