OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
387,235,235.1,1,20.71,-156.25,evergreen broadleaf tropical forest,Barren,EBF,EBF,16,Primary,ND,ND,ND,field flux,2006,"Houlton, B., D. Sigman, and L. Hedin. 2006. Isotopic evidence for large gaseous nitrogen losses from tropical rainforests. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 103:8745–8750.",CF,*coordinates determiend using google search of site,,evergreen broadleaf tropical forest,62,894.9238281,11.4055748,723.4333496,66,542,430,998.2290649,-0.329779804,2.393274069,0.119499996,16,57.52999878,6377,2847,192,16.74326324,38.75907135,,
290,180,180.1,3,-3.08,37.45,evergreen broadleaf tropical forest,Barren,EBF,EBF,16,Primary,5.3,1417,3880,field flux,2017,"Gutlein, A., M. Zistl-Schlingmann, J. Becker, N. Cornejo, F. Detsch, M. Dannenmann, T. Appelhans, D. Hertel, Y. Kuzyakov, and R. Kiese. 2017. Nitrogen turnover and greenhouse gas emissions in a tropical alpine ecosystem, Mt. Kilimanjaro, Tanzania. PLANT AND SOIL 411:243–259.",CF,*need to double check coordinates,,"""tropical alpine ecosystem""",99,1468.352417,5.606547832,651.5904541,57,635,483,1023.325134,-0.412077934,2.180317163,0.148599997,16,1520.689941,6277,4216.5,134.5,12.2662735,70.96596527,6.764975548,3.09717679
447,276,276.8,3,-19.25,-57.07,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,ND,ND,ND,field flux,2012,"Liengaard L, Nielsen LP, Revsbech NP, Priemé A, Elberling B, Enrich-Prast A, Kühl M. Extreme emission of n(2)o from tropical wetland soil (pantanal, South america). Front Microbiol. 2013 Jan 4;3:433. doi: 10.3389/fmicb.2012.00433. PMID: 23293634; PMCID: PMC3537118.",SL,,,tropical wetland,80,1080.642822,26.32511902,933.2523804,61,216,166,506.4078064,-1.015884042,4.607442379,0.1954,9,1315.540039,3444,88,2,0.097832069,59.58952332,7.548666954,3.221273899
424,260,260.2,1,-18.94,-56.65,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,25,1100,ND,field flux,2018,"Laurent Barbiero, Marcos Siqueira Neto, Rosangela Rodrigues Braz, Janaina Braga do Carmo, Ary Tavares Rezende Filho, Edmar Mazzi, Fernando Antonio Fernandes, Sandra Regina Damatto, Plinio Barbosa de Camargo, Biogeochemical diversity, O2-supersaturation and hot moments of GHG emissions from shallow alkaline lakes in the Pantanal of Nhecolândia, Brazil, Science of The Total Environment, Volumes 619–620, 2018, Pages 1420-1430, ISSN 0048-9697, https://doi.org/10.1016/j.scitotenv.2017.11.197.",SL,*coordinates estimated from map,,alkaline lake,80,1137.19043,26.27212334,924.0999756,53,158,172,288.3551331,-0.781127572,3.946505308,0.196500003,9,1315.540039,3419,106,9.5,0.619495451,61.70731354,7.661029816,3.27811718
444,276,276.1,3,-19.58,-57.02,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,ND,ND,ND,field flux,2012,"Liengaard L, Nielsen LP, Revsbech NP, Priemé A, Elberling B, Enrich-Prast A, Kühl M. Extreme emission of n(2)o from tropical wetland soil (pantanal, South america). Front Microbiol. 2013 Jan 4;3:433. doi: 10.3389/fmicb.2012.00433. PMID: 23293634; PMCID: PMC3537118.",SL,,,tropical wetland,98,1101.80481,26.09766006,948,65,190,178,354.0080261,-0.909965575,4.673513889,0.201100007,9,1315.540039,2256,93,5,0.264551818,56.98226547,7.548666954,3.221273899
442,274,274.1,2,9.88,98.59,mangrove,Permanent Wetlands,Mangrove,Permanent Wetlands,11,Secondary,26-30,3134,ND,field flux,2022,"Kittiwan Kitpakornsanti, Patthra Pengthamkeerati, Atsamon Limsakul, Pasinee Worachananant, Sapit Diloksumpun, Greenhouse gas emissions from soil and water surface in different mangrove establishments and management in Ranong Biosphere Reserve, Thailand, Regional Studies in Marine Science, Volume 56, 2022, 102690, ISSN 2352-4855, https://doi.org/10.1016/j.rsma.2022.102690.",SL,,,secondary natural-rehabilitation site,,3712.838135,27.53150749,1253.423828,55,615,487,426.3045044,-1.422481656,7.008399963,0.204999998,11,356.1700134,,5.5,8.5,0.893146813,,,
423,260,260.1,1,-19.66,-56.08,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,25,1100,ND,field flux,2018,"Laurent Barbiero, Marcos Siqueira Neto, Rosangela Rodrigues Braz, Janaina Braga do Carmo, Ary Tavares Rezende Filho, Edmar Mazzi, Fernando Antonio Fernandes, Sandra Regina Damatto, Plinio Barbosa de Camargo, Biogeochemical diversity, O2-supersaturation and hot moments of GHG emissions from shallow alkaline lakes in the Pantanal of Nhecolândia, Brazil, Science of The Total Environment, Volumes 619–620, 2018, Pages 1420-1430, ISSN 0048-9697, https://doi.org/10.1016/j.scitotenv.2017.11.197.",SL,*coordinates estimated from map,,alkaline lake,60,1247.62854,25.75741959,990.7476196,56,215,195,316.7837524,-0.771257103,4.33437109,0.224900007,9,1315.540039,2817,111,9,0.391322553,56.75216293,7.661029816,3.27811718
243,149,149.3,1,-4.49,-74.08,wetland,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,11,,26,3100,90,field flux,2017,"Teh, Y., W. Murphy, J. Berrio, A. Boom, and S. Page. 2017. Seasonal variability in methane and nitrous oxide fluxes from tropical peatlands in the western Amazon basin. BIOGEOSCIENCES 14:3669–3683.",CF,,,wetland,98,2702.785645,26.86964417,984.2380981,,,,463.059021,-1.031190515,6.953383923,0.2315,11,333.2999878,2725,100,11,0.71277231,19.77311897,3.791481733,3.897088289
14,14,14.01,1,-22,29.91,"""sparse mopane-acacia woodland""",Grasslands,Woody Savannas,Savannas,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,*some sites had multiple types of vegetation listed; I only listed one for each in the biomes column,,"""sparse mopane-acacia woodland""",82,341.1952515,23.17839241,323.7476196,71,72,75,656.0686035,-0.017216858,1.102693796,0.232199997,10,752.1599731,1459,500,5,0.361988068,86.26654053,0.833914757,1.09652245
215,129,129.6,2,9.5,-1,"""wooded grassland""",Cropland,Woody Savannas,Savannas,12,ND,26-33,1200,ND,field flux,2003,"Andersson, M., A. Kjoller, and S. Struwe. 2003. Soil emissions of nitrous oxide in fire-prone African savannas. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 108.",CF,,,"""wooded grassland""",82,1052.004761,28.89619064,973.2999878,58,130,108,360.2080688,-0.138935551,1.758563519,0.240400001,12,1136.180054,11246,129,5,0.460827649,86.78985596,6.218504906,3.953705549
