OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
17,14,14.04,1,-19.69,28.4,"""teak/terminalia woodland""",Grasslands,Woody Savannas,Savannas,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""teak/terminalia woodland""",82,561.4476318,20.72809601,508.4142761,66,97,86,438.5948486,-0.508353531,2.425952196,0.65259999,10,752.1599731,1148,1148,8,0.578704119,108.5684357,4.719727516,4.121150017
19,14,14.06,1,-18.16,25.99,"""teak/terminalia woodland""",Savannas,Savannas,Savannas,9,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""teak/terminalia woodland""",97,647.8952637,22.68452454,572.1619263,63,135,104,483.8639221,-0.47888428,2.626517534,0.654399991,9,763.4799805,3481,1032.5,5,0.435916364,116.1886978,6.080488682,4.750554562
159,95,95.1,3,9.58,-63.5,"""herbaceous savanna"" - tropical savanna?",Grasslands,Grassland,Grassland,10,ND,27.3,1057,ND,field flux,2004,"Simona, C., D. Ariangelo, G. John, N. Nina, M. Ruben, and S. Jose. 2004. Nitrous oxide and methane fluxes from soils of the Orinoco savanna under different land uses. GLOBAL CHANGE BIOLOGY 10:1947–1960.",JVO,*they just gave 2 cities which the sites were located around so I took the average of their coordinates,,"""herbaceous savanna"" - tropical savanna?",63,1045.071411,26.79759979,933.0666504,60,258,212,471.843811,-0.299547672,2.898072004,0.666100025,10,1265.719971,3676,166,9,0.796506882,70.55930328,,
18,14,14.05,1,-18.6,27.07,"""msasa/ brachysteiga woodland""",Savannas,Savannas,Savannas,9,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""msasa/ brachysteiga woodland""",82,657.833313,21.97132874,593.2666626,62,157,84,417.7366333,-0.606055558,2.914736509,0.675000012,9,752.1599731,3740,1034.5,28.5,2.481821775,112.0113449,4.5879879,4.765717506
124,75,75.4,1,18.71,110.33,evergreen broadleaf tropical forests,Cropland/Natural Vegetation Mo- saics,EBF,EBF,14,Secondary,24.5,2166,ND,lab flux,2015,"Xie, Y., J. Zhang, L. Meng, C. Muller, and Z. Cai. 2015. Variations of soil N transformation and N2O emissions in tropical secondary forests along an aridity gradient. JOURNAL OF SOILS AND SEDIMENTS 15:1538–1548.",CF,*inferred from coordinate map in paper,,*evergreen broadleaf tropical forests,62,1684.19519,25.4636116,1158.985718,54,280,187,390.4779968,-0.793898821,5.376373291,0.697399974,14,3984.610107,3650,34,20,1.496444583,72.56848907,,
21,14,14.08,1,-18.73,27.95,"""teak/terminalia woodland""",Closed Shrublands,Closed Shrublands,Savannas,6,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""teak/terminalia woodland""",97,659.3095093,21.52281761,573.8713989,62,128,83,408.2686462,-0.28098318,2.383702755,0.702000022,6,752.1599731,3880,1092,3,0.235609725,113.7103424,6.014745712,6.376660824
200,123,123.1,1,10.43,-83.98,"""mix of grass, shrubs, and scattered trees""",Woody Savannas,Woody Savannas,Savannas,8,,24,4000,50,lab flux,1993,"GRIFFITHS, R., B. CALDWELL, and P. SOLLINS. 1993. EFFECTS OF VEGETATION REGIME ON DENITRIFICATION POTENTIAL IN 2 TROPICAL VOLCANIC SOILS. BIOLOGY AND FERTILITY OF SOILS 16:157–162.",JVO,"*site data pulled from https://acsess.onlinelibrary.wiley.com/doi/epdf/10.2136/sssaj1988.03615995005200040050x , which was referenced in the paper.",,"""mix of grass, shrubs, and scattered trees""",62,3577.771484,26.52605057,1420.204712,50,479,600,804.5393066,-0.895240128,7.323888779,0.70630002,8,231.3200073,3608,43,16.5,1.263657689,38.50356293,,
440,272,272.1,1,0.35,32.54,wetland,Urban and Built-up Lands,Permanent Wetlands,Permanent Wetlands,13,,ND,ND,1158,lab flux,2020,"John K. Kayima, Aloyce W. Mayo, Nitrogen removal buffer capacity of the Lubigi wetland in Uganda, Physics and Chemistry of the Earth, Parts A/B/C, Volume 117, 2020, 102883, ISSN 1474-7065, https://doi.org/10.1016/j.pce.2020.102883.",SL,,,polluted wetland,84,1313.580933,22.58126831,1097.80957,,,,490.5892944,-0.321307063,3.88043189,0.709699988,13,1641.449951,4012,1185.5,35.5,3.983669281,34.53561783,,
233,142,142.1,1,10.43,-83.97,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,Secondary,25.8,3962,40,field flux,2001,"Nobre, A., M. Keller, P. Crill, and R. Harriss. 2001. Short-term nitrous oxide profile dynamics and emissions response to water, nitrogen and carbon additions in two tropical soils. BIOLOGY AND FERTILITY OF SOILS 34:363–373.",CF,,,evergreen broadleaf tropical forest,90,3577.771484,26.52605057,1420.204712,50,443,597,804.5393066,-0.895240128,7.323888779,0.725600004,8,231.3200073,3029,42.5,6,0.477227628,41.19134903,,
234,142,142.1,1,10.43,-83.97,grassland tropical C4,Woody Savannas,Grassland,Grassland,8,Pasture,25.8,3962,40,field flux,2001,"Nobre, A., M. Keller, P. Crill, and R. Harriss. 2001. Short-term nitrous oxide profile dynamics and emissions response to water, nitrogen and carbon additions in two tropical soils. BIOLOGY AND FERTILITY OF SOILS 34:363–373.",CF,,,grassland tropical C4,90,3577.771484,26.52605057,1420.204712,50,443,597,804.5393066,-0.895240128,7.323888779,0.725600004,8,231.3200073,3029,42.5,6,0.477227628,41.19134903,,
6,5,5.1,1,21.45,110.9,evergreen broadleaf tropical forests,Cropland/Natural Vegetation Mo- saics,EBF,EBF,14,ND,23,1400-1700,,field flux,2022,"Gong, Y., F. Sun, F. Wang, H. Lambers, Y. Li, Q. Zhong, J. Chen, Z. Li, and M. Wang. 2022. The mechanisms and potentially positive effects of seven years of delayed and wetter wet seasons on nitrous oxide fluxes in a tropical monsoon forest. GEODERMA 412.",CF,"the dominant trees are Aphanamixis polystachya, Schefflera octophylla, Carallia brachiate, Symplocos chunii, Acacia auriculaeformis, Photinia benthamiana, and Cinnamomum burmanni; shrubs and herbs are Dicranopter isdichotoma, Lygodium japonicum, Blechnum orientale, Psychotria rubra, Uvaria microcarpa, and Clerodendrum cyrtophyllum",,**,62,1829.909546,23.52152824,1153.085693,59,251,331,,-0.336809963,3.384120464,0.728100002,14,3984.610107,4396,36,14,0.924640775,72.94723511,,
122,75,75.2,1,18.71,109.28,evergreen broadleaf tropical forests,Savannas,EBF,EBF,9,Secondary,25,1600,ND,lab flux,2015,"Xie, Y., J. Zhang, L. Meng, C. Muller, and Z. Cai. 2015. Variations of soil N transformation and N2O emissions in tropical secondary forests along an aridity gradient. JOURNAL OF SOILS AND SEDIMENTS 15:1538–1548.",CF,*inferred from coordinate map in paper,,*evergreen broadleaf tropical forests,63,1435.114258,24.6205349,1046.661865,62,358,211,351.7200623,-1.66734314,6.747066021,0.728299975,9,2710.689941,3333,209,64.5,4.798425674,77.42074585,,
23,14,14.1,1,-19.93,29.01,"""grassland on high ground""",Grasslands,Grassland,Grassland,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""grassland on high ground""",82,635.2190552,19.05529785,558.5238037,63,122,106,474.5783997,-0.142411456,1.632970095,0.729399979,10,752.1599731,2174,1372,6,0.528628469,106.3132935,4.569505215,4.757456779
132,80,80.2,1,-3.09,-54.72,evergreen broadleaf tropical forests,Grasslands,EBF,EBF,10,Primary,25,ND,ND,field flux,2005,"Wick, B., E. Veldkamp, W. de Mello, M. Keller, and P. Crill. 2005. Nitrous oxide fluxes and nitrogen cycling along a pasture chronosequence in Central Amazonia, Brazil. BIOGEOSCIENCES 2:175–187.",JVO,coords inferred from description,,ND,62,1850.476196,26.67986107,1023.404785,48,296,255,247.8152924,-1.430611491,6.724155426,0.735700011,10,576.25,4532,61.5,29.5,2.939361095,65.67215729,3.51350832,3.197499752
131,80,80.1,1,-3.09,-54.72,grassland tropical C4,Grasslands,Grassland,Grassland,10,Pasture,25,ND,ND,field flux,2005,"Wick, B., E. Veldkamp, W. de Mello, M. Keller, and P. Crill. 2005. Nitrous oxide fluxes and nitrogen cycling along a pasture chronosequence in Central Amazonia, Brazil. BIOGEOSCIENCES 2:175–187.",JVO,coords inferred from description,,ND,62,1850.476196,26.67986107,1023.404785,48,296,255,247.8152924,-1.430611491,6.724155426,0.735700011,10,576.25,4532,61.5,29.5,2.939361095,65.67215729,3.51350832,3.197499752
24,14,14.11,1,-19.69,29.57,"""grassland on high ground""",Grasslands,Grassland,Grassland,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""grassland on high ground""",82,658.5952148,18.77206421,575.4190674,63,111,77,435.4503784,-0.091642573,1.58216846,0.745800018,10,752.1599731,2540,1423.5,13,1.245472193,105.7860336,6.170966625,6.225001812
330,202,202.1,1,-1.32,-47.95,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,Secondary,24-27,2539,ND,field flux,2004,"Vasconcelos, S., D. Zarin, M. Capanu, R. Littell, E. Davidson, F. Ishida, E. Santos, M. Araujo, D. Aragao, L. Rangel-Vasconcelos, F. Oliveira, W. McDowell, and C. de Carvalho. 2004. Moisture and substrate availability constrain soil trace gas fluxes in an eastern Amazonian regrowth forest. GLOBAL BIOGEOCHEMICAL CYCLES 18.",CF,**unsure of biome type,,evergreen broadleaf tropical forest,34,2969.395264,26.75250053,1175.990479,47,371,280,466.5096741,-0.726746559,5.472150803,0.746299982,8,1255.550049,7851,38,8,0.54695195,70.41719055,4.918058872,5.690590858
225,134,134.1,1,18.62,109.25,evergreen broadleaf tropical forest,Savannas,EBF,EBF,9,Primary,19.8,2249,ND,field flux,2017,"Yang, H., M. Detto, S. Liu, W. Yuan, C. Hsieh, X. Wang, R. Chen, H. Chen, C. Peng, X. Jiang, Y. Li, H. Xu, W. Liu, and Q. Yang. 2017. Effects of canopy gaps on N2O fluxes in a tropical montane rainforest in Hainan of China. ECOLOGICAL ENGINEERING 105:325–334.",JVO,,,evergreen broadleaf tropical forest,62,1485.919067,23.89023972,1057.185669,52,608,264,351.7200623,-0.803860426,5.230169296,0.763899982,9,2710.689941,4017,211,40.5,2.878619671,77.31860352,,
269,169,169.1,1,-5.25,119.9,"""pine tree forest"" - evergreen coniferous tropical forest?",Cropland/Natural Vegetation Mo- saics,DBF,DBF,14,ND,ND,ND,1462,field flux,2005,"Jumadi, S., Y. Hala, and K. Inubushi. 2005. Production and emission of nitrous oxide and responsible microorganisms in upland acid soil in Indonesia. SOIL SCIENCE AND PLANT NUTRITION 51:693–696.",CF,,,"""pine tree forest"" - evergreen coniferous tropical forest?",34,2983.447754,20.25170517,1073.852417,53,704,497,373.9067078,-1.145115376,6.335237503,0.770299971,14,895.4099731,4206,1488.5,51.5,4.133440495,63.68817139,,
378,227,227.3,1,-2.98,-47.52,deciduous broadleaf tropical forest,Grasslands,DBF,DBF,10,ND,25,1850,ND,field flux,2000,"Perez, T., S. Trumbore, S. Tyler, E. Davidson, M. Keller, and P. de Camargo. 2000. Isotopic variability of N2O emissions from tropical forest soils. GLOBAL BIOGEOCHEMICAL CYCLES 14:525–535.",CF,,,deciduous broadleaf tropical forest,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
52,34,34.1,1,-2.98,-47.52,evergreen broadleaf tropical forests,Grasslands,EBF,EBF,10,Primary,ND,1900,ND,field flux,2002,"Cattânio, J. H., E. A. Davidson, D. C. Nepstad, L. V. Verchot, and I. L. Ackerman. 2002. Unexpected results of a pilot throughfall exclusion experiment on soil emissions of CO2, CH4, N2O, and NO in eastern Amazonia. Biology and Fertility of Soils 36:102–108.",FS,,,evergreen broadleaf tropical forests,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
154,91,91.1,1,-2.98,-47.52,evergreen broadleaf tropical forests,Grasslands,EBF,EBF,10,Secondary,ND,1800,ND,field flux,2004,"Davidson, E., C. de Carvalho, I. Vieira, R. Figueiredo, P. Moutinho, F. Ishida, M. dos Santos, J. Guerrero, K. Kalif, and R. Saba. 2004. Nitrogen and phosphorus limitation of biomass growth in a tropical secondary forest. ECOLOGICAL APPLICATIONS 14:S150–S163.",CF,,,*evergreen broadleaf tropical forests,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
265,167,167.5,1,-2.98,-47.52,evergreen broadleaf tropical forest,Grasslands,EBF,EBF,10,Primary,ND,1800,ND,field flux,2007,"Davidson, E., C. de Carvalho, A. Figueira, F. Ishida, J. Ometto, G. Nardoto, R. Saba, S. Hayashi, E. Leal, I. Vieira, and L. Martinelli. 2007. Recuperation of nitrogen cycling in Amazonian forests following agricultural abandonment. NATURE 447:995-U6.",CF,,,*vague,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
266,167,167.6,1,-2.98,-47.52,evergreen broadleaf tropical forest,Grasslands,EBF,EBF,10,Secondary,ND,1800,ND,field flux,2007,"Davidson, E., C. de Carvalho, A. Figueira, F. Ishida, J. Ometto, G. Nardoto, R. Saba, S. Hayashi, E. Leal, I. Vieira, and L. Martinelli. 2007. Recuperation of nitrogen cycling in Amazonian forests following agricultural abandonment. NATURE 447:995-U6.",CF,,,*vague,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
372,225,225.1,1,-2.98,-47.52,evergreen broadleaf tropical forest,Grasslands,EBF,EBF,10,Primary,ND,1850,ND,field flux,1999,"Verchot, L., E. Davidson, J. Cattanio, I. Ackerman, H. Erickson, and M. Keller. 1999. Land use change and biogeochemical controls of nitrogen oxide emissions from soils in eastern Amazonia. GLOBAL BIOGEOCHEMICAL CYCLES 13:31–46.",CF,,,*deciduous broadleaf tropical forest,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
373,225,225.2,1,-2.98,-47.52,evergreen broadleaf tropical forest,Grasslands,EBF,EBF,10,Secondary,ND,1850,ND,field flux,1999,"Verchot, L., E. Davidson, J. Cattanio, I. Ackerman, H. Erickson, and M. Keller. 1999. Land use change and biogeochemical controls of nitrogen oxide emissions from soils in eastern Amazonia. GLOBAL BIOGEOCHEMICAL CYCLES 13:31–46.",CF,,,*deciduous broadleaf tropical forest,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
374,225,225.3,1,-2.98,-47.52,grassland tropical C4,Grasslands,Grassland,Grassland,10,Pasture,ND,1850,ND,field flux,1999,"Verchot, L., E. Davidson, J. Cattanio, I. Ackerman, H. Erickson, and M. Keller. 1999. Land use change and biogeochemical controls of nitrogen oxide emissions from soils in eastern Amazonia. GLOBAL BIOGEOCHEMICAL CYCLES 13:31–46.",CF,*unmanaged pasture,,pasture*,34,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,10,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
455,285,285.2,1,6.48,101.75,wetland,Evergreen Broadleaf Forests,Permanent Wetlands,Permanent Wetlands,2,,27.3,"2,465",ND,field flux,2000,"Ueda, Shingo & Go, Chun-Sim & Yoshioka, Takahito & Yoshida, Naohiro & Wada, Eitaro & Miyajima, Toshihiro & Sugimoto, Atsuko & Boontanon, Narin & Vijarnsorn, Pisoot & Boonprakub, Suporn. (2000). Dynamics of dissolved O2 , CO2 , CH4 , and N2O in a tropical coastal swamp in southern Thailand. Biogeochemistry. 49. 191-215. 10.1023/A:1006393214432. ",SL,*coordinates determined from other study in same area,,reclaimed swamp forest,11,2192.885742,27.87837219,1333.290527,47,1887,1032,565.7420044,-0.600893378,4.777357101,0.779900014,2,1197.550049,2982,6,2,0.134805351,77.96569824,,
22,14,14.09,1,-19.93,28.51,"""acacia nilotica/ acacia bushland""",Grasslands,Woody Savannas,Savannas,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""acacia nilotica/ acacia bushland""",82,565.833313,20.14952469,510.4047546,63,164,122,468.1087341,-0.461598724,2.418405533,0.782400012,10,752.1599731,2250,1194,51,3.248631477,106.0320129,4.261061668,4.219589233
121,75,75.1,1,18.97,108.75,evergreen broadleaf tropical forests,Cropland/Natural Vegetation Mo- saics,EBF,EBF,14,Secondary,25,1000,ND,lab flux,2015,"Xie, Y., J. Zhang, L. Meng, C. Muller, and Z. Cai. 2015. Variations of soil N transformation and N2O emissions in tropical secondary forests along an aridity gradient. JOURNAL OF SOILS AND SEDIMENTS 15:1538–1548.",CF,*inferred from coordinate map in paper,,*evergreen broadleaf tropical forests,44,1160.909546,25.58904839,919.1762085,64,258,158,422.5808411,-0.956890166,5.241981983,0.786300004,14,2710.689941,6595,33,11,0.924923658,81.205513,,
393,239,239.2,1,15.68,73.8,mangrove,Cropland/Natural Vegetation Mo- saics,Mangrove,Permanent Wetlands,14,,ND,ND,ND,inferred?,2012,"Fernandes, S., P. Bonin, V. Michotey, N. Garcia, and P. LokaBharathi. 2012. Nitrogen-limited mangrove ecosystems conserve N through dissimilatory nitrate reduction to ammonium. SCIENTIFIC REPORTS 2.",CF,,,mangrove,44,3658.24292,27.17089272,958.7999878,62,264,231,540.7180786,-0.681510925,3.545388937,0.789099991,14,1319.22998,9077,30.5,24,1.783311605,146.6781616,,
100,62,62.1,1,6.22,-5.33,deciduous broadleaf tropical forests,Savannas,DBF,DBF,9,,27,1200,ND,lab flux,1992,"LENSI, R., A. DOMENACH, and L. ABBADIE. 1992. FIELD-STUDY OF NITRIFICATION AND DENITRIFICATION IN A WET SAVANNA OF WEST AFRICA (LAMTO, COTE-DIVOIRE). PLANT AND SOIL 147:107–113.",FS,dry semideciduous forests,,deciduous broadleaf tropical forests,62,1243.880981,26.56879044,1071.480957,58,518,351,353.8822937,-0.773801029,5.306544304,0.790199995,9,1175.77002,13847,200.5,20,1.820277572,52.87902832,,
103,62,62.4,1,6.22,-5.33,evergreen broadleaf tropical forests,Savannas,EBF,EBF,9,,27,1200,ND,lab flux,1992,"LENSI, R., A. DOMENACH, and L. ABBADIE. 1992. FIELD-STUDY OF NITRIFICATION AND DENITRIFICATION IN A WET SAVANNA OF WEST AFRICA (LAMTO, COTE-DIVOIRE). PLANT AND SOIL 147:107–113.",FS,"riparian forest along the Bandama river, gallery forests in the thalwegs",,evergreen broadleaf tropical forests,62,1243.880981,26.56879044,1071.480957,58,518,351,353.8822937,-0.773801029,5.306544304,0.790199995,9,1175.77002,13847,200.5,20,1.820277572,52.87902832,,
72,48,48.1,1,6.22,-5.33,savanna,Savannas,Savannas,Savannas,9,ND,27,ND,ND,microbial,2018,"Srikanthasamy, T., J. Leloup, A. N’Dri, S. Barot, J. Gervaix, A. Kone, K. Koffi, X. Le Roux, X. Raynaud, and J. Lata. 2018. Contrasting effects of grasses and trees on microbial N-cycling in an African humid savanna. SOIL BIOLOGY & BIOCHEMISTRY 117:153–163.",CF,* NEA and DEA assays,,savanna,62,1243.880981,26.56879044,1071.480957,58,518,351,353.8822937,-0.773801029,5.306544304,0.790199995,9,1175.77002,13847,200.5,20,1.820277572,52.87902832,,
101,62,62.2,1,6.22,-5.33,grassland tropical C4,Savannas,Savannas,Savannas,9,,27,1200,ND,lab flux,1992,"LENSI, R., A. DOMENACH, and L. ABBADIE. 1992. FIELD-STUDY OF NITRIFICATION AND DENITRIFICATION IN A WET SAVANNA OF WEST AFRICA (LAMTO, COTE-DIVOIRE). PLANT AND SOIL 147:107–113.",FS,"herbaceous savannas, without trees, dominated by the grasses Loudetia simplex and Andropogon schirensis
",,grassland tropical C4,62,1243.880981,26.56879044,1071.480957,58,518,351,353.8822937,-0.773801029,5.306544304,0.790199995,9,1175.77002,13847,200.5,20,1.820277572,52.87902832,,
102,62,62.3,1,6.22,-5.33,tropical savanna,Savannas,Savannas,Savannas,9,,27,1200,ND,lab flux,1992,"LENSI, R., A. DOMENACH, and L. ABBADIE. 1992. FIELD-STUDY OF NITRIFICATION AND DENITRIFICATION IN A WET SAVANNA OF WEST AFRICA (LAMTO, COTE-DIVOIRE). PLANT AND SOIL 147:107–113.",FS,shrub savannas dominated by the grasses Hyparrhenia diplandra and Hyparrhenia smithiana,,tropical savanna,62,1243.880981,26.56879044,1071.480957,58,518,351,353.8822937,-0.773801029,5.306544304,0.790199995,9,1175.77002,13847,200.5,20,1.820277572,52.87902832,,
415,251,251.1,1,-4.48,-37.78,mangrove,Savannas,Mangrove,Permanent Wetlands,9,,27,812,5,lab flux,2020,"Otero, X., Araujo, J., Barcellos, D., Queiroz, H., Romero, D., Nobrega, G., Siqueira Neto, M., & Ferreira, T. (2020). Crab Bioturbation and Seasonality Control Nitrous Oxide Emissions in Semiarid Mangrove Forests (Ceara, Brazil). APPLIED SCIENCES-BASEL, 10(7). https://doi.org/10.3390/app10072215",KN,*coordinates found by georeferencing site location,,,62,1195.185669,27.03321457,876.0904541,,,,,-0.443682194,3.87389946,0.809499979,9,123.8600006,7305,6,6,0.370133638,104.1668243,,
257,163,163.2,2,-3.43,114.67,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,ND,ND,ND,field flux,2003,"Inubushi, K., Y. Furukawa, A. Hadi, E. Purnomo, and H. Tsuruta. 2003. Seasonal changes of CO2, CH4 and N2O fluxes in relation to land-use change in tropical peatlands located in coastal area of South Kalimantan. CHEMOSPHERE 52:603–608.",CF,*abandoned peatland,,mangrove/peatland,11,2618.485596,27.80765915,1252.995239,53,2565,503,966.7349243,-0.758738995,4.458744526,0.815400004,9,373.1400146,3240,7,2,0.097832069,43.08249664,,
157,94,94.1,1,19.5,-105.05,deciduous broadleaf tropical forests,Deciduous Broadleaf Forests,DBF,DBF,4,ND,24.9,748,ND,field flux,1991,"GARCIAMENDEZ, G., J. MAASS, P. MATSON, and P. VITOUSEK. 1991. NITROGEN TRANSFORMATIONS AND NITROUS-OXIDE FLUX IN A TROPICAL DECIDUOUS FOREST IN MEXICO. OECOLOGIA 88:362–366.",CF,,,*deciduous broadleaf tropical forests,75,898.0142822,25.78363037,857.7952271,65,235,286,525.8493652,-1.028854966,4.282283306,0.818099976,4,1930.939941,0,86.5,39,3.421649456,110.4207001,,
270,170,170.1,1,19.5,-105.05,deciduous broadleaf tropical forest,Deciduous Broadleaf Forests,DBF,DBF,4,ND,24.9,748,ND,field flux,1993,"DAVIDSON, E., P. MATSON, P. VITOUSEK, R. RILEY, K. DUNKIN, G. GARCIAMENDEZ, and J. MAASS. 1993. PROCESSES REGULATING SOIL EMISSIONS OF NO AND N2O IN A SEASONALLY DRY TROPICAL FOREST. ECOLOGY 74:130–139.",CF,,,deciduous broadleaf tropical forest,75,898.0142822,25.78363037,857.7952271,65,235,286,525.8493652,-1.028854966,4.282283306,0.818099976,4,1930.939941,0,86.5,39,3.421649456,110.4207001,,
158,94,94.2,1,19.5,-105.05,grassland tropical C4,Deciduous Broadleaf Forests,Grassland,Grassland,4,pasture,24.9,748,ND,field flux,1991,"GARCIAMENDEZ, G., J. MAASS, P. MATSON, and P. VITOUSEK. 1991. NITROGEN TRANSFORMATIONS AND NITROUS-OXIDE FLUX IN A TROPICAL DECIDUOUS FOREST IN MEXICO. OECOLOGIA 88:362–366.",CF,,,pasture,75,898.0142822,25.78363037,857.7952271,65,235,286,525.8493652,-1.028854966,4.282283306,0.818099976,4,1930.939941,0,86.5,39,3.421649456,110.4207001,,
26,14,14.13,1,-18.12,30.21,"""msasa/ brachysteiga woodland""",Grasslands,Woody Savannas,Savannas,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""msasa/ brachysteiga woodland""",82,734.8618774,20.36870956,632.4381104,61,136,105,489.8951721,-0.564454615,2.740220547,0.818300009,10,752.1599731,3742,1181.5,6,0.605203509,111.4922791,6.470434666,6.683999062
201,124,124.1,1,1.35,103.81,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,Secondary,27.5,2166,ND,field flux,2021,"Stefaner, K., S. Ghosh, M. Yusof, H. Ibrahim, E. Leitgeb, A. Schindlbacher, and B. Kitzler. 2021. Soil greenhouse gas fluxes from a humid tropical forest and differently managed urban parkland in Singapore. SCIENCE OF THE TOTAL ENVIRONMENT 786.",CF,,,"""mature secondary forest""",62,2455.333252,27.56623077,1244.923828,48,848,273,,-0.862262785,5.428195477,0.827499986,2,1664.079956,1447,54.5,22.5,1.517283082,21.65485954,,
16,14,14.03,1,-20.49,29.04,"""Terminalia woodland""",Grasslands,Woody Savannas,Savannas,10,,ND,ND,,lab flux,2001,"Kirkman, G., W. Yang, and F. Meixner. 2001. Biogenic nitric oxide emissions upscaling: An approach for Zimbabwe. GLOBAL BIOGEOCHEMICAL CYCLES 15:1005–1020.",JVO,,,"""Terminalia woodland""",82,557.2619019,20.49920654,510.0523682,62,114,89,394.6386414,-0.196749836,2.085961103,0.855599999,10,752.1599731,1172,1054,23,2.140034676,100.4628448,4.569505215,4.757456779
