Lat,Long,PresAbs,Type
8.13,34.57,1,BNF
9.27,-1.85,1,BNF
9.5,-1,1,BNF
9.63,0.98,1,BNF
9.47,-1.15,1,BNF
-15.93,-47.85,1,BNF
-15.93,-47.85,1,BNF
10.43,-84,1,BNF
10.43,-84,1,BNF
10.43,-84,1,BNF
15.4,-15.43,1,BNF
8.88,-67.32,1,BNF
18.62,109.25,1,BNF
-4.5,12.5,1,BNF
23.17,112.17,1,BNF
23.17,112.17,1,BNF
10.43,-84,1,BNF
10.43,-84,1,BNF
-3.02,-54.97,1,BNF
5.83,-52.92,1,BNF
10.43,-83.97,1,BNF
10.43,-83.97,1,BNF
18.3,-65.83,1,BNF
-22.76,-43.68,1,BNF
10.87,-85.7297,1,BNF
23.17,112.17,1,BNF
-12.49,131.15,1,BNF
-17.27,145.9,1,BNF
-4.25,-73.2,1,BNF
-4.06,-73.2,1,BNF
-4.49,-74.08,1,BNF
-3.83,-73.2,1,BNF
22.12,88.86,1,BNF
21.93,101.27,1,BNF
21.42,109.2,1,BNF
10.33,79.53,1,BNF
-2.86,-54.96,1,BNF
17.78,-65.87,1,BNF
-2,114,1,BNF
-3.83,-73.32,1,BNF
20.3,-96.87,1,BNF
20.1,-96.69,1,BNF
19.83,-96.45,1,BNF
-3.43,114.69,1,BNF
-3.43,114.67,1,BNF
-4.12,-78.97,1,BNF
18.31,-65.75,1,BNF
18.31,-65.75,1,BNF
-1.25,-47.78,1,BNF
-1.25,-47.78,1,BNF
-2.2,-47.37,1,BNF
-2.2,-47.37,1,BNF
-2.98,-47.52,1,BNF
-2.98,-47.52,1,Denit
9.33,-66.25,1,Denit
9.33,-66.25,1,Denit
-5.25,119.9,1,Denit
19.5,-105.05,1,Denit
21.84,88.88,1,Denit
21.84,88.65,1,Denit
21.59,88.24,1,Denit
21.5,88.42,1,Denit
21.45,88.26,1,Denit
18.5,-66.33,1,Denit
-20.49,-41.73,1,Denit
-22.5,-43.01,1,Denit
23.17,112.55,1,Denit
23.17,112.55,1,Denit
23.17,112.55,1,Denit
1.3,34.25,1,Denit
1.74,31.54,1,Denit
-11.85,-55.65,1,Denit
8.75,-82.25,1,Denit
9.1,-79.83,1,Denit
23.16,112.56,1,Denit
23.16,112.56,1,Denit
23.19,112.51,1,Denit
-3.08,37.45,1,Denit
19.55,-155.22,1,Denit
20.05,-155.68,1,Denit
21.116667,-156.9,1,Denit
22.13,-159.62,1,Denit
10.43,-84,1,Denit
10.2,-83.53,1,Denit
-19.78,47.1,1,Denit
19.5,-155.47,1,Denit
19.98,-155.23,1,Denit
22.14,-159.64,1,Denit
-2.54,113.01,1,Denit
7.85,-62.95,1,Denit
7.85,-62.95,1,Denit
7.85,-62.95,1,Denit
23.17,112.55,1,Denit
-18.79,146.25,1,Denit
-18.22,146,1,Denit
-18,146.04,1,Denit
18.3,-65.83,1,Denit
-10.5,-62.5,1,Denit
19.5,-155.47,1,Denit
22.14,-159.64,1,Denit
-21.25,-48.3,1,Denit
-2.32,114.02,1,Denit
-3.83,-73.32,1,Denit
23.08,58.15,1,Denit
-19.01,-57.56,1,Denit
-3.3,-64.62,1,Denit
-3.27,-64.62,1,Denit
-3.25,-58.65,1,Denit
-3.23,-59.99,1,Denit
-3.51,-54.42,1,Denit
-2.43,-60.87,1,Denit
0.06,114,1,Denit
0.5,35.3,1,Denit
22.139443,-159.639329,1,Denit
-5.25,-59.97,1,Denit
21.22,-89.53,1,Denit
20.8,-89.43,1,Denit
-1.32,-47.95,1,Denit
8.716667,-83.616667,1,Denit
21.93,101.25,1,Denit
18.3,-65.83,1,Denit
18.73,108.89,1,Denit
18.74,108.87,1,Denit
23.17,112.54,1,Denit
1.56749,124.805963,1,Denit
-5.461022,119.289916,1,Denit
0.150526,-79.263615,1,Denit
0.030337,-78.866498,1,Denit
0.30805,-77.92971,1,Denit
0.381344,-78.286828,1,Denit
9.1,-79.83,1,Denit
8.75,-82.25,1,Denit
-18.3,19.25,1,Denit
11.23,-4.45,1,Denit
12.22,-2.71,1,Denit
18.04,-67.07,1,Denit
18.47,-67.04,1,Denit
-0.3,25.3,1,Denit
-2.31,28.76,1,Denit
18.48,-67.04,1,Denit
-3.17,114.63,1,Denit
-12.9,-71.4,1,Denit
-13.05,-71.54,1,Denit
-13.12,-71.62,1,Denit
-2.31,28.75,1,Denit
0.06,18.31,1,Denit
0.29,25.3,1,Denit
0.81,24.49,1,Denit
0.67,22.34,1,Denit
23.17,112.17,1,Denit
-17.28,145.63,1,Denit
-17.6,145.57,1,Denit
8.4,-83.32,1,Denit
8.41,-83.33,1,Denit
23.17,112.17,1,Denit
23.17,112.17,1,Denit
23.17,112.17,1,Denit
19,-69.67,1,Denit
19,-69.67,1,Denit
-2.98,-47.52,1,Denit
-2.98,-47.52,1,Denit
-2.98,-47.52,1,Denit
-11,-66,1,Denit
-15,-67,1,Denit
10.43,-84,1,Denit
-2.98,-47.52,1,Denit
0.23,34.28,1,Denit
18.3,-65.83,1,Denit
23.17,112.17,1,Denit
23.17,112.17,1,Denit
23.17,112.17,1,Denit
18.608333,108.841667,1,Denit
-2.89,-59.97,1,Denit
-2.89,-59.97,1,Denit
20.71,-156.25,1,Denit
-9.05,-40.32,1,Denit
-9.14,-40.3,1,Denit
-13.85,131.3,1,Denit
-13.85,131.3,1,Denit
15.51,73.88,1,Denit
15.68,73.8,1,Denit
10.2,-83.53,1,Denit
10.2,-83.53,1,Denit
0.13,34.77,1,Denit
0.38,34.97,1,Denit
-18.04,144.03,1,Denit
-18,146.07,1,Denit
-18.22,146.23,1,Denit
-18.5,146.21,1,Denit
-18.58,146.31,1,Denit
8.83,-75.78,1,Denit
-22.45,-42.99,1,Denit
9.38,-66.25,1,Denit
9.38,-66.25,1,Denit
10.33,-66.92,1,Denit
16.66,112.73,1,Denit
16.83,112.33,1,Denit
16.83,112.33,1,Denit
-0.75,37.75,1,Denit
22.03,100.87,1,Denit
0.2,25.12,1,Denit
-2.5,28.75,1,Denit
-4.48,-37.78,1,Denit
19.38,-155.2,1,Denit
19.92,-155.28,1,Denit
20.17,-155.74,1,Denit
21.11,-156.87,1,Denit
22.1,-159.63,1,Denit
10.27,99.15,1,Denit
10.37,99.22,1,Denit
-19.66,-56.08,1,Denit
-18.94,-56.65,1,Denit
-19.5,147.49,1,Denit
-19.5,147.49,1,Denit
-19.53,147.49,1,Denit
-19.53,147.49,1,Denit
-19.73,147.52,1,Denit
-19.73,147.52,1,Denit
8.4,76.98,1,Denit
21.66,88.33,1,Denit
3.37,101.27,1,Denit
-2.35,114.03,1,Denit
-2.32,114.02,1,Denit
-2.28,114.02,1,Denit
9.99,76.27,1,Denit
8.95,-81.91,1,Denit
9.42,-82.4,1,Denit
0.35,32.54,1,Denit
-3.04,-54.95,1,Denit
9.88,98.59,1,Denit
9.89,98.55,1,Denit
-19.58,-57.02,1,Denit
-18.73,-57.54,1,Denit
-19.07,-57.33,1,Denit
-19.25,-57.07,1,Denit
18.3,-65.83,1,Denit
-2.79,113.16,1,Denit
18.3,-65.83,1,Denit
18.166111,-88.524444,1,Denit
19.5,-101.62,1,Denit
-3.83,-73.32,1,Denit
6.2,101.93,1,Denit
6.48,101.75,1,Denit
8.4,-83.3,1,Denit
16.4094,-88.61,1,Denit
23.1614,112.5433,1,Denit
18.3,-65.8,1,Denit
18.3,-65.8,1,Denit
6.9781,44.9242,1,Denit
-22.829,16.153,1,Denit
-2.3226,34.8374,1,Denit
-13.965,136.436,1,Denit
-13.965,136.436,1,Denit
-13.965,136.436,1,Denit
-13.965,136.436,1,Denit
-17.76,31.04,1,Denit
9.36,-63.23,1,Denit
9.36,-63.23,1,Denit
0.33,36.88,1,Denit
19.6,-155,1,Denit
-9.4,46.3333,1,Denit
22.5,112.5,1,Denit
-9.4,46.3333,1,Denit
-9.4,46.3333,1,Denit
-13.9833,136.6082,1,Denit
-4.5,104.6333,1,Denit
-4.5,104.6333,1,Denit
19.6,-155,1,Denit
21.4,-158,1,Denit
22.5667,112.8333,1,Denit
21.4,-158,1,Denit
-8.8756,-36.3667,1,Denit
-9.4942,-40.5097,1,Denit
2,-51.8333,1,Denit
-3.25,-59.9667,1,Denit
11.05,33.4,1,Denit
12.2,33.3,1,Denit
14.03,35.4,1,Denit
13.17,30.23,1,Denit
12.3,29.2,1,Denit
12.4,29.3,1,Denit
13.45,30.3,1,Denit
22.1,-159.5,1,Denit
12.45,30.05,1,Denit
22.1,-159.5,1,Denit
19.5333,-155.5833,1,Denit
-15.2704,23.1481,1,Denit
-15.2704,23.1481,1,Denit
-20.0165,23.4045,1,Denit
-22.4206,22.1411,1,Denit
2.9994,101.7091,1,Denit
11.9804,8.5577,1,Denit
12.949,12.9888,1,Denit
12.0951,11.692,1,Denit
9.7219,9.1652,1,Denit
8.8111,8.3741,1,Denit
6.3283,7.7369,1,Denit
6.5432,3.3041,1,Denit
18.45,-66.1667,1,Denit
5.25,-52.91,1,Denit
-4.7447,12.0308,1,Denit
-17.5833,31.2333,1,Denit
-17.5833,31.2333,1,Denit
-17.5833,31.2333,1,Denit
8.6333,124.9167,1,Denit
-23.1833,-48.4167,1,Denit
-23.1833,-48.4167,1,Denit
-21.5833,-47.5167,1,Denit
